,app_name,Total_min_per_App,Total_device_per_App,avg_time_spend_per_device,Rank(DurationBased)
0,Facebook (Mobile App),4624547.256,1910,2421.228929842932,1.0
1,Facebook Messenger (Mobile App),2670211.1646,1912,1396.553956380753,2.0
2,YouTube (Mobile App),911750.6286,1754,519.8122169897377,3.0
3,Google Search (Mobile App),604126.971,1747,345.808226101889,4.0
4,Instagram (Mobile App),508182.255,1092,465.3683653846154,5.0
5,Snapchat (Mobile App),297520.587,824,361.06867354368933,6.0
6,Google Play (Mobile App),235396.4571,1844,127.6553454989154,7.0
7,Netflix (Mobile App),198277.443,433,457.9155727482679,8.0
8,Pinterest (Mobile App),113580.9864,534,212.69847640449436,9.0
9,Amazon Mobile (Mobile App),99668.1105,830,120.08206084337348,10.0
10,Yahoo Mail (Mobile App),98311.752,396,248.26199999999997,11.0
11,Tumblr (Mobile App),80677.6362,150,537.850908,12.0
12,Kindle (Mobile App),44492.2632,129,344.9012651162791,13.0
13,Outlook (Mobile App),41296.689,211,195.71890521327015,14.0
14,Walmart (Mobile App),21595.8015,303,71.27327227722773,15.0
15,Amazon Music with Prime Music (Mobile App),18611.3592,126,147.70919999999998,16.0
16,GroupMe (Mobile App),12062.358,92,131.11258695652174,17.0
17,Yahoo Newsroom (Mobile App),5947.7166,45,132.17148,18.0
18,Microsoft Word (Mobile App),1804.761,36,50.13225,19.0
19,Sam's Club Scan & Go (Mobile App),297.4104,7,42.487199999999994,20.0
20,Sam's Club (Mobile App),100.16999999999999,2,50.084999999999994,21.0
